id,barang_id,gudang_id,jumlah,tanggal,harga_satuan,nama_pembeli,user_id
1,5,1,15,2024-01-05,125000.00,Rumah Sakit Umum Daerah Kota Bandung,3
2,8,2,8,2024-01-12,85000.00,Klinik Sehat Mulia,4
3,12,1,25,2024-01-18,45000.00,Puskesmas Cempaka Putih,3
4,3,3,5,2024-01-25,2850000.00,Rumah Sakit Siloam,5
5,7,2,12,2024-02-03,95000.00,Klinik Pratama Sejahtera,4
6,15,1,30,2024-02-10,35000.00,Puskesmas Tanah Abang,3
7,9,3,18,2024-02-17,65000.00,Rumah Sakit Mitra Keluarga,5
8,2,2,3,2024-02-24,4200000.00,Rumah Sakit Umum Pusat Nasional,4
9,11,1,20,2024-03-05,55000.00,Klinik Medika Utama,3
10,6,3,7,2024-03-12,185000.00,Puskesmas Kebon Jeruk,5
11,14,2,22,2024-03-19,40000.00,Rumah Sakit Hermina,4
12,4,1,4,2024-03-26,3200000.00,Rumah Sakit Premier Jatinegara,3
13,10,3,16,2024-04-02,75000.00,Klinik Bina Sehat,5
14,13,2,28,2024-04-09,38000.00,Puskesmas Palmerah,4
15,1,1,2,2024-04-16,5500000.00,Rumah Sakit Umum Daerah Jakarta,3
16,8,3,10,2024-04-23,85000.00,Rumah Sakit Mayapada,5
17,5,2,18,2024-05-07,125000.00,Klinik Family Care,4
18,12,1,35,2024-05-14,45000.00,Puskesmas Menteng,3
19,7,3,14,2024-05-21,95000.00,Rumah Sakit Pondok Indah,5
20,15,2,40,2024-05-28,35000.00,Klinik Medikaloka,4
21,3,1,6,2024-06-04,2850000.00,Rumah Sakit Umum Daerah Bogor,3
22,9,2,20,2024-06-11,65000.00,Puskesmas Cilandak,4
23,11,3,25,2024-06-18,55000.00,Rumah Sakit Carolus,5
24,6,1,8,2024-06-25,185000.00,Klinik Tugu Ibu,3
25,14,2,32,2024-07-02,40000.00,Puskesmas Gambir,4
26,4,3,5,2024-07-09,3200000.00,Rumah Sakit Metropolitan,5
27,10,1,18,2024-07-16,75000.00,Klinik Bunda,3
28,13,2,38,2024-07-23,38000.00,Rumah Sakit Fatmawati,4
29,1,3,3,2024-07-30,5500000.00,Puskesmas Senen,5
30,8,1,12,2024-08-06,85000.00,Rumah Sakit Harapan Kita,3
31,5,2,22,2024-08-13,125000.00,Klinik Permata Ibu,4
32,12,3,42,2024-08-20,45000.00,Puskesmas Kemayoran,5
33,7,1,16,2024-08-27,95000.00,Rumah Sakit Dharma Nugraha,3
34,15,2,45,2024-09-03,35000.00,Klinik Medistra,4
35,9,3,22,2024-09-10,65000.00,Puskesmas Pasar Minggu,5
36,2,1,4,2024-09-17,4200000.00,Rumah Sakit Umum Daerah Depok,3
37,11,2,28,2024-09-24,55000.00,Klinik Utama Medika,4
38,6,3,10,2024-10-01,185000.00,Puskesmas Tebet,5
39,14,1,35,2024-10-08,40000.00,Rumah Sakit MMC,3
40,4,2,6,2024-10-15,3200000.00,Klinik Bina Husada,4
41,10,3,20,2024-10-22,75000.00,Puskesmas Matraman,5
42,13,1,40,2024-10-29,38000.00,Rumah Sakit Royal Progress,3
43,1,2,4,2024-11-05,5500000.00,Klinik Medika Satria,4
44,8,3,15,2024-11-12,85000.00,Puskesmas Johar Baru,5
45,5,1,25,2024-11-19,125000.00,Rumah Sakit Islam Jakarta,3
46,12,2,48,2024-11-26,45000.00,Klinik Sehati,4
47,7,3,18,2024-12-03,95000.00,Puskesmas Duren Sawit,5
48,15,1,50,2024-12-10,35000.00,Rumah Sakit Yarsi,3
49,3,2,7,2024-12-17,2850000.00,Klinik Medistra,4
50,9,1,24,2024-12-24,65000.00,Puskesmas Cakung,5
51,11,2,30,2025-01-07,55000.00,Rumah Sakit Budi Kemuliaan,3
52,6,3,12,2025-01-14,185000.00,Klinik Bina Medika,4
53,14,1,38,2025-01-21,40000.00,Puskesmas Jagakarsa,5
54,4,2,7,2025-01-28,3200000.00,Rumah Sakit Medika Permata Hijau,3
55,10,3,22,2025-02-04,75000.00,Klinik Utama Bunda,4
56,13,1,42,2025-02-11,38000.00,Puskesmas Pancoran,5
57,1,2,5,2025-02-18,5500000.00,Rumah Sakit Puri Indah,3
58,8,3,18,2025-02-25,85000.00,Klinik Medika Lestari,4
59,5,1,28,2025-03-04,125000.00,Puskesmas Kebayoran Lama,5
60,12,2,52,2025-03-11,45000.00,Rumah Sakit Setia Mitra,3
61,7,3,20,2025-03-18,95000.00,Klinik Bina Sejahtera,4
62,15,1,55,2025-03-25,35000.00,Puskesmas Pesanggrahan,5
63,9,2,26,2025-04-01,65000.00,Rumah Sakit Grha Kedoya,3
64,2,3,6,2025-04-08,4200000.00,Klinik Medika Prima,4
65,11,1,32,2025-04-15,55000.00,Puskesmas Cilincing,5
66,6,2,14,2025-04-22,185000.00,Rumah Sakit Tria Dipa,3
67,14,3,40,2025-04-29,40000.00,Klinik Medika Husada,4